Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
United States,USA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,15741217552602.7,16012842178567.7,16734705033537.7,17602894205765.3,18261844597577.2,17860069690350.5,19593000990250.4
United States,USA,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.542416207710829,0.5519007423908135,2.6876203936358394,2.9953495200763456,2.3611350890494975,-3.9012712945931867,5.501414140768503
United States,USA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,16.49056816,16.80215836,16.76750183,16.62964439,16.66580582,18.75621986,17.3625679
United States,USA,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,91.3460311889648,92.6043090820312,90.7703323364258,90.6240310668945,90.4247589111328,90.0018997192383,90.4010391235352
United States,USA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,22.373535660170674,22.415921839149163,22.14069965575337,22.169479112547343,22.516489568097132,31.648931200815955,30.759308735197262
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,18295019000000,18804913000000,19612102000000,20656516000000,21539982000000,21354105000000,23681171000000
United States,USA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.9455504545523326,1.8194514747429338,2.4576223032221094,2.966505069166331,2.583825330188546,-2.163029138665138,6.055052933045758
United States,USA,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,102.86591667382253,102.67627933189587,102.77037616875539,102.87113761100855,102.68008580508562,102.93246661473286,103.63170385450955
United States,USA,Gross savings (% of GDP),NY.GNS.ICTR.ZS,19.698427205787542,18.55869261399933,18.979056910880843,19.232091220029552,19.431232579488693,18.386783243783807,17.752631404925033
United States,USA,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,..,..,0.762,0.713683247566223,..,0.701764345169067,..
United States,USA,"Population, total",SP.POP.TOTL,320738994,323071755,325122128,326838199,328329953,331526933,332048977
India,IND,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1839197893355,1991577687380.81,2326228560999.19,2363288935865.17,2479347909060.48,2297238845810,2697069318282.99
India,IND,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,9.077456823815396,7.494381836413794,8.756344359463824,5.913419876082202,2.7807680025800465,-6.862312068894312,10.470134459939871
India,IND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.6,3.5,2.94,2.86,2.95,3.34,3.28
India,IND,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,..,..,..,..,..,..,..
India,IND,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,15.125690362279393,15.271950025231579,15.614109922098288,15.663131915138836,..,..,..
India,IND,GDP (current US$),NY.GDP.MKTP.CD,2103588360044.9392,2294796885663.163,2651474262755.452,2702929641648.7407,2835606256558.195,2674851578587.2686,3167270623260.4688
India,IND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.996253785714714,8.256305501790862,6.795383418979114,6.453851344977693,3.8714369407035605,-5.777724706868014,9.68959249192875
India,IND,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,101.5523019228208,99.77651988756536,100.47452146551987,102.45475955369368,102.01016071999057,101.63296512897821,103.54258004914314
India,IND,Gross savings (% of GDP),NY.GNS.ICTR.ZS,32.45392411119024,31.726414740368337,31.706753170612284,31.41049223114117,29.702200579294917,28.679682113157178,29.866133064956298
India,IND,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,..,..,0.44,0.484795808792114,..,0.493510901927948,..
India,IND,"Population, total",SP.POP.TOTL,1328024498,1343944296,1359657400,1374659064,1389030312,1402617695,1414203896


